UserID,Age,Gender,Country,EducationLevel,CurrentJobTitle,YearsOfExperience,Industry,HasAISkills,AISkillsList,WillingnessToUpskill,UpskillingActionsTaken,SkillGapScore,FutureJobRisk,RecommendedLearningPath,LastProfileUpdate
USR-0001,25,Female,France,Other,Nurse,7,Media,False,,5,4,0.7,High,AI for Business,2024-05-04
USR-0002,25,Female,Canada,High School,Retail Manager,1,Healthcare,False,,5,4,0.7,High,"Prompt Engineering, NLP",2023-12-19
USR-0003,35,Female,USA,Bachelor's,Admin Assistant,12,Media,False,,5,5,0.7,High,AI for Business,2024-04-28
USR-0004,50,Female,UK,Bachelor's,Marketing Coordinator,30,Manufacturing,False,,4,3,0.7,Medium,"Machine Learning, Deep Learning",2023-05-15
USR-0005,34,Female,UK,High School,Retail Manager,13,Tech,False,,5,2,0.7,High,"Machine Learning, Deep Learning",2024-04-30
USR-0006,22,Male,USA,Bachelor's,Admin Assistant,0,Finance,False,,5,5,0.7,High,"Machine Learning, Deep Learning",2023-08-10
USR-0007,22,Male,Canada,Bachelor's,Data Analyst,4,Media,False,,5,5,0.7,Medium,"Machine Learning, Deep Learning",2023-05-31
USR-0008,49,Female,Canada,PhD,Content Creator,28,Education,False,,2,0,0.7,Low,AI for Business,2023-05-13
USR-0009,31,Male,Canada,Bachelor's,Retail Manager,11,Healthcare,True,"Computer Vision, Machine Learning, Data Science",4,5,0.3,High,,2024-04-30
USR-0010,40,Male,Canada,Bachelor's,Admin Assistant,18,Consulting,False,,4,5,0.7,High,"Data Visualization, Python",2023-11-06
USR-0011,57,Female,USA,Master's,Teacher,35,Media,False,,3,2,0.7,High,"Prompt Engineering, NLP",2023-08-07
USR-0012,25,Female,Brazil,High School,Nurse,3,Tech,False,,5,5,0.7,Medium,"Machine Learning, Deep Learning",2023-02-10
USR-0013,31,Male,Australia,Bachelor's,Retail Manager,11,Education,False,,4,4,0.7,High,"Data Visualization, Python",2024-06-04
USR-0014,23,Female,France,Bachelor's,Teacher,4,Consulting,False,,4,5,0.7,Medium,"Python, Data Analysis, AI Ethics",2023-03-30
USR-0015,55,Prefer Not to Say,UK,Bachelor's,Content Creator,34,Tech,True,"AI Ethics, Prompt Engineering",2,0,0.34,Low,,2024-01-15
USR-0016,51,Male,USA,PhD,Admin Assistant,32,Media,False,,3,2,0.7,High,"Data Visualization, Python",2023-07-26
USR-0017,25,Male,France,High School,Retail Manager,2,Manufacturing,False,,4,0,0.7,High,"Python, Data Analysis, AI Ethics",2023-12-03
USR-0018,46,Female,France,High School,Financial Advisor,24,Retail,False,,3,2,0.7,Medium,AI for Business,2024-07-10
USR-0019,30,Female,USA,Bachelor's,Software Engineer,9,Consulting,False,,4,2,0.7,Low,"Prompt Engineering, NLP",2024-02-26
USR-0020,27,Male,Canada,High School,Content Creator,9,Finance,False,,5,0,0.7,Low,"Machine Learning, Deep Learning",2024-05-12
USR-0021,29,Female,USA,Other,AI Specialist,8,Manufacturing,False,,4,1,0.7,Low,"Prompt Engineering, NLP",2023-01-18
USR-0022,22,Male,France,Bachelor's,Financial Advisor,4,Retail,False,,4,0,0.7,Medium,"Data Visualization, Python",2024-04-21
USR-0023,38,Male,France,Bachelor's,Admin Assistant,17,Manufacturing,False,,5,2,0.7,High,"Machine Learning, Deep Learning",2023-07-26
